HWT,CWT,WBT,LG,ALT,KaVL
51.55,35.70,20.00,1.385,0.0,0.6773
51.58,35.72,20.00,1.386,0.0,0.67641
51.61,35.74,20.00,1.387,0.0,0.67552
51.64,35.76,20.00,1.388,0.0,0.67464
51.67,35.78,20.00,1.389,0.0,0.67375
51.70,35.80,20.00,1.390,0.0,0.67287
51.73,35.82,20.00,1.391,0.0,0.67199
51.76,35.84,20.00,1.392,0.0,0.67111
51.79,35.86,20.00,1.393,0.0,0.67023
51.82,35.88,20.00,1.394,0.0,0.66936
51.85,35.90,20.00,1.395,0.0,0.66848
51.88,35.92,20.00,1.396,0.0,0.66761
51.91,35.94,20.00,1.397,0.0,0.66674
51.94,35.96,20.00,1.398,0.0,0.66587
51.97,35.98,20.00,1.399,0.0,0.665
52.00,36.00,20.00,1.400,0.0,0.66414
52.03,36.02,20.00,1.401,0.0,0.66327
52.06,36.04,20.00,1.402,0.0,0.66241
52.09,36.06,20.00,1.403,0.0,0.66155
52.12,36.08,20.00,1.404,0.0,0.66069
52.15,36.10,20.00,1.405,0.0,0.65983
52.18,36.12,20.00,1.406,0.0,0.65897
52.21,36.14,20.00,1.407,0.0,0.65812
52.24,36.16,20.00,1.408,0.0,0.65726
52.27,36.18,20.00,1.409,0.0,0.65641
52.30,36.20,20.00,1.410,0.0,0.65556
52.33,36.22,20.00,1.411,0.0,0.65471
52.36,36.24,20.00,1.412,0.0,0.65386
52.39,36.26,20.00,1.413,0.0,0.65301
52.42,36.28,20.00,1.414,0.0,0.65217
52.45,36.30,20.00,1.415,0.0,0.65132
52.48,36.32,20.00,1.416,0.0,0.65048
52.51,36.34,20.00,1.417,0.0,0.64964
52.54,36.36,20.00,1.418,0.0,0.6488
52.57,36.38,20.00,1.419,0.0,0.64797
52.60,36.40,20.00,1.420,0.0,0.64713
52.63,36.42,20.00,1.421,0.0,0.64629
52.66,36.44,20.00,1.422,0.0,0.64546
52.69,36.46,20.00,1.423,0.0,0.64463
52.72,36.48,20.00,1.424,0.0,0.6438
52.75,36.50,20.00,1.425,0.0,0.64297
52.78,36.52,20.00,1.426,0.0,0.64214
52.81,36.54,20.00,1.427,0.0,0.64132
52.84,36.56,20.00,1.428,0.0,0.64049
52.87,36.58,20.00,1.429,0.0,0.63967
52.90,36.60,20.00,1.430,0.0,0.63885
52.93,36.62,20.00,1.431,0.0,0.63803
52.96,36.64,20.00,1.432,0.0,0.63721
52.99,36.66,20.00,1.433,0.0,0.63639
53.02,36.68,20.00,1.434,0.0,0.63557
53.05,36.70,20.00,1.435,0.0,0.63476
53.08,36.72,20.00,1.436,0.0,0.63395
53.11,36.74,20.00,1.437,0.0,0.63313
53.14,36.76,20.00,1.438,0.0,0.63232
53.17,36.78,20.00,1.439,0.0,0.63151
53.20,36.80,20.00,1.440,0.0,0.63071
53.23,36.82,20.00,1.441,0.0,0.6299
53.26,36.84,20.00,1.442,0.0,0.62909
53.29,36.86,20.00,1.443,0.0,0.62829
53.32,36.88,20.00,1.444,0.0,0.62749
53.35,36.90,20.00,1.445,0.0,0.62669
53.38,36.92,20.00,1.446,0.0,0.62589
53.41,36.94,20.00,1.447,0.0,0.62509
53.44,36.96,20.00,1.448,0.0,0.62429
53.47,36.98,20.00,1.449,0.0,0.6235
53.50,37.00,20.00,1.450,0.0,0.6227
53.53,37.02,20.00,1.451,0.0,0.62191
53.56,37.04,20.00,1.452,0.0,0.62112
53.59,37.06,20.00,1.453,0.0,0.62033
53.62,37.08,20.00,1.454,0.0,0.61954
53.65,37.10,20.00,1.455,0.0,0.61875
53.68,37.12,20.00,1.456,0.0,0.61797
53.71,37.14,20.00,1.457,0.0,0.61718
53.74,37.16,20.00,1.458,0.0,0.6164
53.77,37.18,20.00,1.459,0.0,0.61561
53.80,37.20,20.00,1.460,0.0,0.61483
53.83,37.22,20.00,1.461,0.0,0.61405
53.86,37.24,20.00,1.462,0.0,0.61328
53.89,37.26,20.00,1.463,0.0,0.6125
53.92,37.28,20.00,1.464,0.0,0.61172
53.95,37.30,20.00,1.465,0.0,0.61095
53.98,37.32,20.00,1.466,0.0,0.61017
54.01,37.34,20.00,1.467,0.0,0.6094
54.04,37.36,20.00,1.468,0.0,0.60863
54.07,37.38,20.00,1.469,0.0,0.60786
54.10,37.40,20.00,1.470,0.0,0.60709
54.13,37.42,20.00,1.471,0.0,0.60633
54.16,37.44,20.00,1.472,0.0,0.60556
54.19,37.46,20.00,1.473,0.0,0.6048
54.22,37.48,20.00,1.474,0.0,0.60403
54.25,37.50,20.00,1.475,0.0,0.60327
54.28,37.52,20.00,1.476,0.0,0.60251
54.31,37.54,20.00,1.477,0.0,0.60175
54.34,37.56,20.00,1.478,0.0,0.60099
54.37,37.58,20.00,1.479,0.0,0.60024
54.40,37.60,20.00,1.480,0.0,0.59948
54.43,37.62,20.00,1.481,0.0,0.59873
54.46,37.64,20.00,1.482,0.0,0.59797
54.49,37.66,20.00,1.483,0.0,0.59722
54.52,37.68,20.00,1.484,0.0,0.59647
54.55,37.70,20.00,1.485,0.0,0.59572
54.58,37.72,20.00,1.486,0.0,0.59497
