dbt,wbt,alt,dp_bin,dp_js,dp_ok,h_bin,h_js,h_ok,hr_bin,hr_js,hr_ok
19.9,17.2,500,15.82,15.82,1,50.4276,50.4276,1,0.012,0.012,1
27.8,25.6,500,24.9,24.9,1,82.3529,82.3529,1,0.0213,0.0213,1
36.7,23.4,500,18.05,18.05,1,72.4695,72.4695,1,0.0138,0.0138,1
37.4,31.5,500,30.1,30.1,1,112.7617,112.762,0,0.0293,0.0293,1
19.5,15.6,500,13.37,13.37,1,45.4888,45.4888,1,0.0102,0.0102,1
19.7,11.2,500,3.97,3.97,1,33.4023,33.4024,0,0.0054,0.0054,1
29.2,22.1,500,19.23,19.23,1,67.499,67.499,1,0.0149,0.0149,1
41.2,21.8,500,12.33,12.33,1,65.9527,65.9527,1,0.0095,0.0095,1
38.1,25.0,500,20.24,20.24,1,79.2574,79.2574,1,0.0159,0.0159,1
30.4,15.1,500,3.47,3.47,1,43.7914,43.7914,1,0.0052,0.0052,1
31.8,16.1,500,5.01,5.01,1,46.7351,46.7352,0,0.0058,0.0058,1
20.0,15.2,500,12.34,12.34,1,44.291,44.2911,0,0.0095,0.0095,1
41.5,39.7,500,39.42,39.42,1,172.2994,172.3007,0,0.0507,0.0507,1
42.4,30.1,500,26.81,26.81,1,104.444,104.4442,0,0.024,0.024,1
25.2,12.2,500,0.38,0.38,1,35.8879,35.8879,1,0.0041,0.0041,1
15.9,11.5,500,8.21,8.21,1,34.2136,34.2137,0,0.0072,0.0072,1
34.2,19.3,500,11.22,11.22,1,57.0449,57.0449,1,0.0088,0.0088,1
27.6,26.1,500,25.64,25.64,1,84.6704,84.6705,0,0.0223,0.0223,1
38.7,35.1,1000,34.44,34.44,1,142.7567,142.7574,0,0.0404,0.0404,1
37.1,29.8,1000,28.01,28.01,1,107.8062,107.8063,0,0.0274,0.0274,1
53.5,43.5,1000,42.28,42.28,1,219.721,219.7254,0,0.0639,0.0639,1
25.6,19.6,1000,17.0,17.0,1,60.7949,60.7948,0,0.0138,0.0138,1
45.2,31.4,1000,28.17,28.17,1,117.0564,117.0566,0,0.0277,0.0277,1
41.3,21.5,1000,12.33,12.33,1,67.5987,67.5986,0,0.0101,0.0101,1
54.1,43.3,1000,41.97,41.97,1,217.4079,217.4121,0,0.0627,0.0627,1
53.8,47.0,1000,46.31,46.31,1,263.481,263.4893,0,0.0806,0.0806,1
49.5,47.6,1000,47.42,47.42,1,272.2292,272.2385,0,0.0859,0.0859,1
51.2,39.0,1000,37.12,37.12,1,174.1166,174.1184,0,0.0473,0.0473,1
54.0,52.5,1000,52.39,52.39,1,351.5012,351.5225,0,0.1144,0.1144,1
24.3,21.4,1000,20.31,20.31,1,67.7318,67.7317,0,0.017,0.017,1
28.7,13.7,1000,2.03,2.03,1,41.5144,41.5145,0,0.005,0.005,1
29.4,22.0,1000,19.17,19.17,1,69.989,69.989,1,0.0158,0.0158,1
37.0,26.2,1000,22.87,22.87,1,88.5484,88.5483,0,0.02,0.02,1
46.5,37.8,1000,36.39,36.39,1,163.8747,163.876,0,0.0453,0.0453,1
22.5,17.5,1000,15.07,15.07,1,53.4738,53.4738,1,0.0121,0.0121,1
21.2,19.6,1000,18.94,18.94,1,60.919,60.919,1,0.0156,0.0156,1
53.0,48.9,1000,48.52,48.52,1,290.996,291.0076,0,0.0915,0.0915,1
48.4,42.1,1000,41.29,41.29,1,204.7186,204.7219,0,0.0603,0.0603,1
46.8,39.3,1000,38.18,38.18,1,177.1521,177.1539,0,0.0503,0.0503,1
18.4,12.9,1000,9.31,9.31,1,39.4185,39.4186,0,0.0083,0.0083,1
44.2,26.9,1000,21.48,21.48,1,91.7486,91.7486,1,0.0183,0.0183,1
44.6,44.1,1000,44.04,44.04,1,227.3791,227.384,0,0.0707,0.0707,1
15.7,11.1,1000,7.79,7.79,1,34.5923,34.5924,0,0.0074,0.0074,1
48.9,40.3,1000,39.08,39.08,1,186.4427,186.445,0,0.053,0.053,1
37.9,36.5,1000,36.26,36.26,1,153.6599,153.6609,0,0.045,0.045,1
30.2,29.0,1000,28.7,28.7,1,103.5611,103.5611,1,0.0286,0.0286,1
35.7,28.3,1000,26.32,26.32,1,99.4493,99.4493,1,0.0248,0.0248,1
21.3,15.5,1000,12.28,12.28,1,47.0288,47.0289,0,0.0101,0.0101,1
18.4,15.8,1000,14.45,14.45,1,48.0277,48.0277,1,0.0117,0.0116,0
28.3,14.7,1000,5.33,5.33,1,44.4521,44.4522,0,0.0063,0.0063,1
16.7,13.7,1000,11.92,11.92,1,41.7231,41.7231,1,0.0098,0.0098,1
46.5,29.7,1000,25.27,25.27,1,106.7844,106.7845,0,0.0232,0.0232,1
26.7,18.8,1000,15.11,15.11,1,57.8693,57.8693,1,0.0122,0.0122,1
29.3,28.3,1000,28.04,28.04,1,99.7361,99.7361,1,0.0275,0.0275,1
22.5,19.0,1000,17.48,17.48,1,58.6972,58.6972,1,0.0142,0.0142,1
15.4,13.0,1000,11.53,11.53,1,39.7478,39.7479,0,0.0096,0.0096,1
34.2,22.4,1000,17.78,17.78,1,71.4779,71.4778,0,0.0145,0.0145,1
47.5,45.1,1000,44.84,44.84,1,239.2315,239.2374,0,0.074,0.074,1
54.2,53.6,1000,53.56,53.56,1,372.6023,372.6278,0,0.1224,0.1224,1
21.8,15.8,1000,12.52,12.52,1,47.9553,47.9553,1,0.0102,0.0102,1
22.2,16.3,1000,13.18,13.18,1,49.5339,49.5339,1,0.0107,0.0107,1
21.6,19.8,1000,19.07,19.07,1,61.649,61.649,1,0.0157,0.0157,1
35.6,32.8,1000,32.23,32.23,1,126.6252,126.6256,0,0.0354,0.0354,1
40.7,20.7,1000,10.83,10.83,1,64.4946,64.4945,0,0.0092,0.0091,0
30.0,17.2,1000,10.01,10.01,1,52.2914,52.2914,1,0.0086,0.0087,0
23.6,12.0,1000,2.6,2.6,1,36.8699,36.87,0,0.0052,0.0052,1
39.4,21.9,1000,14.28,14.28,1,69.2616,69.2615,0,0.0115,0.0115,1
54.4,43.8,1000,42.53,42.53,1,223.0947,223.0993,0,0.0648,0.0648,1
50.0,44.2,1000,43.53,43.53,1,228.124,228.129,0,0.0686,0.0686,1
30.2,22.2,1000,19.16,19.16,1,70.783,70.7829,0,0.0158,0.0158,1
40.9,27.7,1000,23.89,23.89,1,96.0171,96.017,0,0.0213,0.0213,1
51.4,33.8,1000,30.12,30.12,1,132.6168,132.6172,0,0.0312,0.0312,1
35.8,32.0,1000,31.19,31.19,1,121.3508,121.351,0,0.0333,0.0333,1
42.3,31.2,1000,28.61,28.61,1,115.9569,115.9571,0,0.0285,0.0285,1
38.4,20.0,1000,10.69,10.69,1,61.9156,61.9156,1,0.0091,0.0091,1
46.2,27.9,1000,22.46,22.46,1,96.8454,96.8454,1,0.0195,0.0195,1
34.8,20.9,1000,14.74,14.74,1,65.4415,65.4415,1,0.0119,0.0119,1
